s_val,param,coef,se,p
1.0,Intercept,10.608567414681556,0.012697777419555993,0.0
1.0,ref_to_ax,0.1483223476413872,0.029344535104122032,2.7718363342894892e-08
1.0,"np.power(ref_to_ax, 2)",-0.06277157965894571,0.015139140200057888,1.111829761804449e-06
2.0,Intercept,10.578436292258406,0.011642906010960252,0.0
2.0,ref_to_ax,2.8261512622004457,0.02178770305977322,0.0
2.0,"np.power(ref_to_ax, 2)",-0.6641924375468562,0.00897920204775399,0.0
3.0,Intercept,12.4004607157803,0.008939017816088567,0.0
3.0,ref_to_ax,1.402177363005469,0.01648454108918414,0.0
3.0,"np.power(ref_to_ax, 2)",-0.3462910542679059,0.0066999390979444505,0.0
